bank_name,borrower_code,date,period_start,percent,loan_amount,loan_purpose_title,loan_purpose_description,loan_type,Name,email,sex,gender,birth_date,is_citizen
Hyatt-Stracke,JC9624IM,Yundt-Schuppe,2/13/2020,6,25787,holistic,ipsum primis in,Investment,Scottie Siddeley,nathan.gonzalez@keemail.me,Male,Cisgender Male,2/8/1980,TRUE
Zboncak-Konopelski,VN7488FZ,"Beatty, Conn and Klein",5/10/2016,8,87856,object-oriented,porttitor lorem,Personal,Bab Nursey,katie.perez@scryptmail.com,Female,Cis Male,2/21/1942,TRUE
Ebert-Bogisich,SW3535PA,McCullough Inc,,,,,,,Fair Athowe,eric.ramirez@ctemplar.com,Male,Female to Male,4/8/1995,TRUE
Parisian-Hessel,GM4879AU,Ziemann Inc,1/3/2005,5,46422,User-friendly,viverra pede,Personal,Andeee Buff,jessica.evans@tutanota.com,Female,Transsexual Man,2/17/1950,FALSE
Rath and Sons,HG4057XD,Dibbert-Dicki,,,,,,,Carey Twining,adam.stewart@keemail.me,Male,Cis Woman,10/3/1992,TRUE
Ebert-Bogisich,LD0488QZ,"Anderson, Hansen and Kub",10/22/2001,4,104375,systemic,mauris eget massa tempor,Investment,Glad Louca,lauren.lopez@scryptmail.com,Female,Transfeminine,2/1/1972,FALSE
Lynch Group,PG6252AL,Bernier Group,11/8/2002,8,146497,data-warehouse,nullam varius nulla,Investment,Jenilee Castelow,matt.cruz@ctemplar.com,Female,Transgender Person,3/23/1963,TRUE
Lynch Group,RE8581RS,Hammes Inc,10/23/2014,0,95637,approach,orci,Business,Sile Peach,stephanie.hughes@tutanota.com,Female,Genderqueer,9/19/1973,FALSE
Rath and Sons,YY6392EY,"Abshire, Fadel and O'Hara",11/15/2020,2,21171,toolset,amet eros,Business,Axe Botten,joshua.bell@keemail.me,Male,Cisgender Female,12/26/1973,FALSE
Kling LLC,IZ5152TG,Quitzon and Sons,,,,,,,Carrie Crocombe,courtney.wood@scryptmail.com,Female,Other,12/28/1919,FALSE
Keebler Group,RZ1888DV,"Wiza, Reinger and Grady",2/3/2006,4,79518,Reactive,bibendum felis sed,Personal,Raine Longcaster,brian.murphy@ctemplar.com,Female,Transsexual,8/29/1973,FALSE
Rath and Sons,HD9529UW,"Leuschke, Mosciski and Bayer",6/2/2020,1,14377,homogeneous,diam in magna bibendum,Business,Tim MacArthur,ashley.ross@tutanota.com,Male,Cis Female,6/5/1944,TRUE
Kling LLC,RJ8133VE,Wuckert Group,10/25/2018,5,110624,paradigm,vestibulum,Investment,Bertine Kelsey,steven.ward@keemail.me,Female,Other,2/27/1944,TRUE
Zboncak-Konopelski,AE2790CJ,Ratke and Sons,,,,,,,Giraldo Proschke,tiffany.peterson@scryptmail.com,Male,Cis Female,10/23/1905,TRUE
Rath and Sons,PU2757JG,Jast-Dach,7/25/2000,3,47023,process improvement,tortor eu,Investment,Kermie Perrett,patrick.gray@ctemplar.com,Male,Trans Female,12/11/1966,TRUE
Hirthe-Treutel,FC0137LA,Wisoky and Sons,,,,,,,Harley Lafond,rachel.james@tutanota.com,Female,Cis Male,1/16/2000,FALSE
Rath and Sons,LA3070CO,Abshire-Wiegand,5/20/2004,9,113859,solution,eleifend pede libero,Business,Blair Garr,david.butler@keemail.me,Female,Cisgender,6/9/2002,FALSE
Rath and Sons,SC3829FL,"Renner, Kihn and Lueilwitz",,,,,,,Dory MacTerrelly,melissa.cooper@scryptmail.com,Female,Cis Woman,10/18/1943,FALSE
Keebler Group,XH4876KL,Flatley-O'Hara,,,,,,,Townsend Grote,michael.hill@ctemplar.com,Male,Non-binary,7/3/2000,FALSE
Kling LLC,HA2258EI,Gutkowski and Sons,5/3/2016,3,11564,solution-oriented,iaculis diam erat fermentum,Personal,Elnora Mockler,lindsay.price@tutanota.com,Female,Cis Man,2/25/1946,FALSE
Hyatt-Stracke,XM0209TD,Schmeler-Reinger,7/21/2023,9,119438,process improvement,quisque ut erat curabitur,Personal,Maryrose Mendes,jared.barnes@keemail.me,Female,Androgynous,4/4/1923,TRUE
Rath and Sons,AW7711AE,Muller Inc,,,,,,,Broddie Heiss,caroline.kelly@scryptmail.com,Male,Androgyne,9/16/1921,TRUE
Zboncak-Konopelski,QE1382AE,Quigley-Graham,,,,,,,Nils Alfonsetto,julian.howard@ctemplar.com,Male,Cis Male,9/12/1931,FALSE
Lynch Group,WF5464IL,Sporer-Balistreri,3/6/2001,6,36552,Down-sized,blandit ultrices,Business,Jock Nassey,victoria.richards@tutanota.com,Male,FTM,4/2/1916,FALSE
Ebert-Bogisich,DY6597DV,Metz Inc,3/31/2005,2,122832,workforce,enim,Investment,Ker Gerrish,dylan.campbell@keemail.me,Male,Male to Female,11/23/1943,TRUE
Keebler Group,RV5925JJ,Bernier Group,,,,,,,Keary Swainston,rebecca.bailey@scryptmail.com,Male,Trans Person,10/12/1991,TRUE
Hirthe-Treutel,XH8567FZ,Orn-Leffler,10/9/2009,2,18562,flexibility,sit amet sem,Investment,Jonathon Blackler,aaron.long@ctemplar.com,Male,Cisgender Man,12/14/1936,TRUE
Kling LLC,VC5914DG,Schiller LLC,9/21/2000,6,1780,Stand-alone,sapien,Personal,Danny Starsmeare,kristen.morgan@tutanota.com,Female,Androgyne,4/23/1956,TRUE
Ebert-Bogisich,NF6322TW,"Schimmel, Muller and Emmerich",1/12/2014,1,7699,database,dapibus augue vel accumsan,Personal,Micheil MacKeeg,bryan.wood@keemail.me,Male,Transsexual,7/21/1944,TRUE
Keebler Group,FM9217QS,Franecki Inc,10/20/2020,0,93821,middleware,hac habitasse platea dictumst,Business,Leonardo Kimmitt,sophia.ross@scryptmail.com,Male,Cisgender Man,8/17/1923,FALSE
Lynch Group,ZR3748TA,Walsh-Schamberger,5/11/2010,0,106720,coherent,vestibulum quam,Investment,Gigi Gadney,peter.ward@ctemplar.com,Female,Female to Male,11/11/1947,FALSE
Hyatt-Stracke,WE2481ZW,Berge Inc,,,,,,,Bidget Grimolbie,julie.jenkins@tutanota.com,Female,Cis,1/5/1978,TRUE
Hirthe-Treutel,FB1341KX,Kihn-Miller,4/6/2018,5,84811,disintermediate,mattis pulvinar nulla pede,Business,Clem Millett,nicholas.bell@keemail.me,Male,Other,2/16/1914,TRUE
Hyatt-Stracke,OC9222FX,Goldner Inc,,,,,,,Hetti Rash,cassandra.hughes@scryptmail.com,Female,Neutrois,10/15/1917,FALSE
Hyatt-Stracke,HZ9139XE,Osinski-Parker,10/7/2010,1,139648,4th generation,aenean auctor,Business,Arlin Tisun,jordan.ramirez@ctemplar.com,Male,Pangender,9/27/1940,FALSE
Hyatt-Stracke,ZZ7515TJ,"Murazik, Kub and Boyer",,,,,,,Annetta Jolliss,marissa.james@tutanota.com,Female,Transmasculine,8/17/1953,FALSE
Lynch Group,ZT0119VX,"Dibbert, Hermann and Schoen",6/9/2005,1,130830,Public-key,nibh,Personal,Ola Whiff,chad.butler@keemail.me,Female,Transgender,9/15/1906,TRUE
Kling LLC,EE0629LD,"Greenfelder, Konopelski and Leannon",,,,,,,Hernando Norrey,erica.cooper@scryptmail.com,Male,Two-Spirit,11/6/1957,FALSE
Zboncak-Konopelski,QC9548UZ,Jacobs LLC,12/10/2019,7,192,model,vestibulum sit,Personal,Benoit Yarr,logan.hill@ctemplar.com,Male,Androgynous,11/23/1959,TRUE
Rath and Sons,BE4660XN,Predovic and Sons,,,,,,,Noelle Willock,kaitlyn.price@tutanota.com,Female,Transsexual Male,4/21/1928,TRUE
Lynch Group,XF6780KI,Collins-Buckridge,,,,,,,Yoshiko Lightwing,mason.barnes@keemail.me,Female,Gender Fluid,12/2/1967,FALSE
Keebler Group,KS2384PE,Mayer-Kling,,,,,,,Winfield Mogridge,alexis.kelly@scryptmail.com,Male,Transsexual Man,3/26/1937,TRUE
Parisian-Hessel,AR3671QW,Bechtelar Group,6/11/2007,8,28405,local area network,pede justo lacinia eget,Personal,Dino Titley,derek.howard@ctemplar.com,Male,FTM,1/10/1919,FALSE
Zboncak-Konopelski,JW5606MA,"Rosenbaum, Hegmann and O'Connell",,,,,,,Shalna Dufoure,kelsey.richards@tutanota.com,Female,Cis Male,8/7/1918,TRUE
Hirthe-Treutel,DE2907RZ,Gerlach and Sons,5/14/2006,5,47709,collaboration,pede,Personal,Violetta McPhillips,cody.campbell@keemail.me,Female,Male to Female,1/18/1927,TRUE
Parisian-Hessel,JN6824AB,"Nitzsche, Labadie and Gerhold",,,,,,,Garrott Grigolashvill,courtney.bailey@scryptmail.com,Male,Cis Woman,1/11/1902,TRUE
Hirthe-Treutel,QF4093PB,Dach-Jacobs,,,,,,,Guy Lumsdale,brandon.long@ctemplar.com,Male,Cis,3/3/1954,TRUE
Ebert-Bogisich,GY2444PC,Bartoletti and Sons,,,,,,,Temp Kempstone,amanda.morgan@tutanota.com,Male,Cisgender Man,4/29/1983,TRUE
Kling LLC,NG9913DN,Heaney-Lemke,12/24/2005,1,61730,definition,congue diam id ornare,Business,Nata Glover,jacob.wood@keemail.me,Female,Cisgender,7/22/1926,FALSE
Keebler Group,UN7434LH,Pollich Inc,,,,,,,Kay Frostdyke,sarah.ross@scryptmail.com,Female,FTM,5/2/1921,FALSE
Rath and Sons,EH6486MA,Kozey-Labadie,6/25/2004,8,133415,process improvement,pellentesque,Investment,Clarette Purrier,ryan.ward@ctemplar.com,Female,Cis,3/4/1978,FALSE
Hirthe-Treutel,JS2069DD,"Hane, Rice and Schmeler",,,,,,,Constancia Hutchason,emily.jenkins@tutanota.com,Female,Gender Fluid,11/6/1913,TRUE
Rath and Sons,QG3397YA,Grimes-Kutch,7/21/2012,5,93619,system-worthy,et magnis dis,Business,Leandra McClurg,chris.bell@keemail.me,Female,Male to Female,5/11/1929,TRUE
Ebert-Bogisich,HD0178WU,Howell and Sons,4/13/2001,0,27409,Centralized,dui,Personal,Lacie Goodnow,laura.hughes@scryptmail.com,Female,Male to Female,9/9/1910,TRUE
Keebler Group,MC2109YJ,"Windler, Hudson and Murphy",2/28/2014,4,128405,Virtual,semper porta volutpat,Business,Franny Iacovone,matt.ramirez@ctemplar.com,Female,Gender Variant,11/16/1967,FALSE
Lynch Group,GT4562LE,Block and Sons,12/7/2008,0,74776,4th generation,a,Personal,Dev Corragan,jessica.james@tutanota.com,Male,Cisgender Man,4/2/1921,FALSE
Keebler Group,YC0337DQ,Schaefer-Zieme,,,,,,,Corri Sayward,alex.butler@keemail.me,Female,Non-binary,9/17/1922,FALSE
Parisian-Hessel,CC5409IV,"Lebsack, Haag and Larkin",4/22/2007,5,140585,Grass-roots,amet cursus,Investment,Amory Kettles,kelly.cooper@scryptmail.com,Male,Cisgender Female,3/25/2005,TRUE
Hyatt-Stracke,EV8099TJ,McClure LLC,1/11/2010,3,89902,Centralized,justo sit,Investment,Leese Baert,mike.hill@ctemplar.com,Female,MTF,3/30/1961,FALSE
Keebler Group,DQ4866OY,Johnston LLC,,,,,,,Desirae Aurelius,samantha.price@tutanota.com,Female,Male to Female,4/10/1919,TRUE
Ebert-Bogisich,SM1373AP,Lindgren Inc,,,,,,,Cross Demeter,daniel.barnes@keemail.me,Male,Cis Female,2/23/1925,FALSE
Parisian-Hessel,IZ1510RT,Corkery-Smitham,12/7/2001,5,112715,didactic,at turpis a pede,Investment,Kathryne Hecks,natalie.kelly@scryptmail.com,Female,Transgender Woman,3/19/1910,TRUE
Hyatt-Stracke,UY2730DG,"Reynolds, Roob and Fahey",2/14/2022,4,2067,well-modulated,sociis,Investment,Rogers Slight,joshua.howard@ctemplar.com,Male,Trans Man,1/30/1951,FALSE
Zboncak-Konopelski,NQ0344PQ,"Ratke, McKenzie and Johnston",10/21/2023,3,117474,hardware,fusce lacus,Investment,Minda Barkworth,amanda.richards@tutanota.com,Female,Trans Male,10/31/1953,FALSE
Kling LLC,UF8739PM,Wisoky Inc,,,,,,,Nananne Lansly,justin.campbell@keemail.me,Female,Non-binary,12/22/1906,TRUE
Parisian-Hessel,MS0282TF,"Rolfson, Lang and Hirthe",7/7/2008,9,50573,moderator,sapien iaculis congue,Business,Doralynn Budleigh,olivia.bailey@scryptmail.com,Female,Cis,12/16/1982,FALSE
Rath and Sons,GN3909PO,"Mertz, Carter and Lang",9/4/2008,4,145378,secured line,auctor,Personal,Karney Tregien,brian.long@ctemplar.com,Male,Transsexual,8/11/1994,TRUE
Lynch Group,LX2035EW,Kulas-Spencer,1/3/2019,5,105598,intranet,sapien sapien non,Personal,Daveta Caldes,lindsay.morgan@tutanota.com,Female,Transgender,11/23/1935,FALSE
Parisian-Hessel,LO4575MS,Beer-Herzog,1/20/2009,7,119800,zero defect,et ultrices posuere cubilia,Personal,Jayson Trytsman,steven.wood@keemail.me,Male,Cisgender Man,5/16/1994,TRUE
Ebert-Bogisich,JZ9349ZU,"Legros, Bayer and Berge",,,,,,,Kylie Buxey,tiffany.ross@scryptmail.com,Female,Neither,1/31/1919,TRUE
Rath and Sons,KK0515KV,Jacobson-Mayer,4/5/2019,2,132703,explicit,pede justo eu massa,Investment,Cassaundra Kimbley,patrick.ward@ctemplar.com,Female,Two-Spirit,12/6/1954,TRUE
Kling LLC,WU0949CS,Hills-Watsica,,,,,,,Donn Lucock,rachel.jenkins@tutanota.com,Male,Bigender,10/7/1900,FALSE
Hirthe-Treutel,AA9699PY,"Rogahn, Bogisich and Schinner",,,,,,,Jordon Odams,david.bell@keemail.me,Male,Transmasculine,9/24/1947,TRUE
Lynch Group,ZG4005TP,Willms-Upton,,,,,,,Bailey Vann,melissa.hughes@scryptmail.com,Male,Gender Nonconforming,10/21/1991,FALSE
Rath and Sons,OB1032MD,Ernser Group,3/8/2002,3,101499,upward-trending,consequat dui nec nisi,Personal,Florrie Dunstan,michael.ramirez@ctemplar.com,Female,Transgender Woman,1/21/1993,TRUE
Kling LLC,PR9407IC,Larkin Inc,,,,,,,Adrea Bambrugh,laura.james@tutanota.com,Female,Trans Male,5/17/1919,TRUE
Lynch Group,MC7908OG,Schamberger and Sons,1/5/2010,3,113399,impactful,est et tempus,Investment,Malissa Detoile,kevin.butler@keemail.me,Female,Cis Female,11/6/1989,TRUE
Ebert-Bogisich,PN7146KP,"Champlin, Kertzmann and Hoppe",7/11/2022,2,131901,homogeneous,tellus nulla,Personal,Nestor Tasseler,amanda.cooper@scryptmail.com,Male,Trans,3/22/2000,FALSE
